model,scenario,time,future_tair,psis,Ca,al,D
NorESM2-MM,ssp585,2000-01,2.9165124841935492,-0.09975414758064517,420.0,10.0,197.43176114619055
NorESM2-MM,ssp585,2000-02,5.319334277931034,-0.09257146227586208,420.0,10.0,178.87419184414168
NorESM2-MM,ssp585,2000-03,11.32892048632258,-0.08492594983870967,420.0,10.0,227.22040824777895
NorESM2-MM,ssp585,2000-04,12.559437556666666,-0.07625598403333332,420.0,10.0,218.92041930817422
NorESM2-MM,ssp585,2000-05,17.517603677419356,-0.0827967051935484,420.0,10.0,231.02574195781108
NorESM2-MM,ssp585,2000-06,22.484493666666665,-0.0762524103,420.0,10.0,390.6251574622186
NorESM2-MM,ssp585,2000-07,23.879266548387097,-0.09004294370967743,420.0,10.0,388.8420469732852
NorESM2-MM,ssp585,2000-08,24.999607145161292,-0.09349655351612902,420.0,10.0,403.7316192804208
NorESM2-MM,ssp585,2000-09,19.636859516666668,-0.0924568137,420.0,10.0,402.5954674074717
NorESM2-MM,ssp585,2000-10,10.709478469354838,-0.09445515132258064,420.0,10.0,241.11800671473026
NorESM2-MM,ssp585,2000-11,6.2769141602000005,-0.0853667096,420.0,10.0,171.51261960445478
NorESM2-MM,ssp585,2000-12,-0.9695769141935484,-0.08676039103225806,420.0,10.0,154.16593402593935
NorESM2-MM,ssp585,2001-01,-0.8923095483870966,-0.08926453016129032,420.0,10.0,113.04676698482716
NorESM2-MM,ssp585,2001-02,-0.12784601857142874,-0.08135847603571429,420.0,10.0,151.1851034733646
NorESM2-MM,ssp585,2001-03,5.47549835367742,-0.07152977777419355,420.0,10.0,150.88196972423472
NorESM2-MM,ssp585,2001-04,11.848337416666666,-0.07164308826666667,420.0,10.0,230.41390336298088
NorESM2-MM,ssp585,2001-05,19.258192677419355,-0.08200279903225807,420.0,10.0,298.5785352766757
NorESM2-MM,ssp585,2001-06,22.783017633333333,-0.09179128523333334,420.0,10.0,461.3204685666974
NorESM2-MM,ssp585,2001-07,25.559161903225807,-0.10452913451612904,420.0,10.0,609.4780496186465
NorESM2-MM,ssp585,2001-08,25.463564967741934,-0.1314781729354839,420.0,10.0,432.6671114061153
NorESM2-MM,ssp585,2001-09,21.82805545,-0.11348272383333334,420.0,10.0,427.12700864224803
NorESM2-MM,ssp585,2001-10,15.067871154838711,-0.12675066841935484,420.0,10.0,371.98312413519545
NorESM2-MM,ssp585,2001-11,8.503517243666668,-0.12370912313333333,420.0,10.0,194.87992853603117
NorESM2-MM,ssp585,2001-12,6.751570344709677,-0.10601597545161291,420.0,10.0,166.8566646761771
NorESM2-MM,ssp585,2002-01,5.18746085451613,-0.11392808835483871,420.0,10.0,153.76563581587436
NorESM2-MM,ssp585,2002-02,8.154336651964286,-0.09895062196428571,420.0,10.0,195.909071169331
NorESM2-MM,ssp585,2002-03,6.523379367096775,-0.09291109903225805,420.0,10.0,146.0906286968812
NorESM2-MM,ssp585,2002-04,13.23874953,-0.09283897483333334,420.0,10.0,237.38944653756926
NorESM2-MM,ssp585,2002-05,15.575234683870969,-0.08192506783870968,420.0,10.0,272.7376191106986
NorESM2-MM,ssp585,2002-06,22.95449406666667,-0.0892304657,420.0,10.0,310.3485595988353
NorESM2-MM,ssp585,2002-07,27.309397322580644,-0.12259221432258065,420.0,10.0,589.9970540630367
NorESM2-MM,ssp585,2002-08,26.84531828064516,-0.14353321741935485,420.0,10.0,555.3208239713515
NorESM2-MM,ssp585,2002-09,25.063457900000003,-0.12224340633333333,420.0,10.0,482.32542739957245
NorESM2-MM,ssp585,2002-10,12.522579206451613,-0.10981581103225806,420.0,10.0,259.67528863008494
NorESM2-MM,ssp585,2002-11,7.915621583266667,-0.08574092583333333,420.0,10.0,141.27183183859393
NorESM2-MM,ssp585,2002-12,2.6065841558064515,-0.08505343774193548,420.0,10.0,139.5916134844014
NorESM2-MM,ssp585,2003-01,2.0401425806451616,-0.09473297322580645,420.0,10.0,164.43842201815744
NorESM2-MM,ssp585,2003-02,2.4458943207142863,-0.09644537703571429,420.0,10.0,171.61838334567216
NorESM2-MM,ssp585,2003-03,9.38770081,-0.08205252158064516,420.0,10.0,131.47448963244508
NorESM2-MM,ssp585,2003-04,9.826195046666665,-0.07493610333333334,420.0,10.0,161.92513736305102
NorESM2-MM,ssp585,2003-05,17.433094822580642,-0.07954148212903225,420.0,10.0,195.10779701130323
NorESM2-MM,ssp585,2003-06,23.413475066666663,-0.0780049938,420.0,10.0,352.22462836693234
NorESM2-MM,ssp585,2003-07,26.80611201612903,-0.10192141348387097,420.0,10.0,450.15483968392203
NorESM2-MM,ssp585,2003-08,27.063829990322578,-0.08323236832258064,420.0,10.0,364.0184733812616
NorESM2-MM,ssp585,2003-09,24.353964783333332,-0.07580416113333334,420.0,10.0,336.6262606093571
NorESM2-MM,ssp585,2003-10,14.740258022580646,-0.07463004261290324,420.0,10.0,288.70018437187537
NorESM2-MM,ssp585,2003-11,8.572338508000001,-0.0709466392,420.0,10.0,170.69666256660645
NorESM2-MM,ssp585,2003-12,2.4043362719354837,-0.06230102787096774,420.0,10.0,132.45435516004486
